business_name,category,city,address,phone,source
ABC Restaurant,Restaurant,Lucknow,Hazratganj,9876543210,Justdial
XYZ Gym,Gym,Lucknow,Gomti Nagar,9123456789,Google
Tech Solution,IT,Lucknow,Aliganj,9988776655,Sulekha
City Hospital,Hospital,Kanpur,Swaroop Nagar,9871234567,Google
Fitness Hub,Gym,Delhi,Rohini,9011223344,Justdial
Spice Villa,Restaurant,Delhi,Connaught Place,9876501234,Google
MediCare Hospital,Hospital,Mumbai,Andheri,9988123456,Sulekha
Bright Academy,Education,Pune,Kothrud,9876123400,Justdial
Green Cafe,Cafe,Jaipur,Malviya Nagar,9123409876,Google
Code World,IT,Bangalore,Whitefield,9988771122,Sulekha
Royal Restaurant,Restaurant,Hyderabad,Banjara Hills,9876547890,Google
Fit Nation,Gym,Chandigarh,Sector 22,9012345678,Justdial
Health Plus,Hospital,Lucknow,Indira Nagar,9765432109,Google
Skyline IT,IT,Pune,Hinjewadi,9988772233,Sulekha
Coffee Corner,Cafe,Delhi,Saket,9123456701,Google
Elite School,Education,Kanpur,Kakadeo,9876123499,Justdial
Urban Gym,Gym,Mumbai,Bandra,9011223300,Google
Food Hub,Restaurant,Jaipur,Vaishali Nagar,9988771100,Sulekha
Apollo Clinic,Hospital,Delhi,Dwarka,9765432199,Justdial
NextGen IT,IT,Noida,Sector 62,9988001122,Google
Cafe Aroma,Cafe,Lucknow,Gomti Nagar,9876512340,Google
Smart Classes,Education,Patna,Boring Road,9123451111,Sulekha
Power Gym,Gym,Indore,Vijay Nagar,9011002200,Justdial
Taste Town,Restaurant,Surat,Adajan,9876001122,Google
LifeCare Hospital,Hospital,Bhopal,MP Nagar,9765001234,Sulekha
